I_ID,I_NAME,ADDRESS,PHONE,C_ID,S_ID,DEPT_ID
1,Noelani Sargent,Ap #771-5765 Cum Rd.,1-754-261-7505,2,3,1
2,Briar Daniel,"4,Uriel Bradley,654-2747 Suspendisse Rd.,(458) 354-0510,3,3,0",1-654-587-6055,2,5,1
3,Uriel Bradley,654-2747 Suspendisse Rd.,(458) 354-0510,3,3,3
4,Beck Kerr,"4,Uriel Bradley,654-2747 Suspendisse Rd.,(458) 354-0510,3,3,0",1-135-293-7589,2,1,3
5,Sarah Lowe,"4,Uriel Bradley,654-2747 Suspendisse Rd.,(458) 354-0510,3,3,0",(473) 329-0525,4,3,3
6,Brock Moody,Ap #478-2532 Tempor Av.,1-921-717-7148,3,5,3
7,Claudia Meyers,506-6286 Libero. Rd.,(796) 562-3483,5,5,1
8,Ryder Moore,"4,Uriel Bradley,654-2747 Suspendisse Rd.,(458) 354-0510,3,3,0",1-728-539-1333,2,1,2
9,Cole Fuentes,Ap #299-2180 Enim Street,1-233-801-3251,5,2,2
10,Hop Lloyd,Ap #816-5568 Accumsan Avenue,1-678-473-3841,4,3,2
