S_ID,S_name,ADDRESS,DOB,PHONE,DEPT_ID
1,Randall Cunningham,Ap #340-5133 Cursus Av.,21-12-1999,(220) 624-4547,3
2,Wing Calhoun,447-733 Vivamus Av.,10/12/1996,1-672-272-5427,3
3,Price Galloway,Ap #907-5397 Fermentum St.,14-11-1996,(668) 645-6332,2
4,Zelda Roman,855-5031 Eu Rd.,18-12-1999,(973) 616-3106,2
5,Vernon Hobbs,Ap #187-8335 Suspendisse Avenue,28-12-1997,(205) 913-3218,3
6,Guy Bonner,Ap #502-9951 Sem Road,9/12/1998,1-661-122-0295,3
7,Latifah Ortega,Ap #138-7568 Quis Road,21-12-1999,(488) 430-3456,1
8,Joel Hunt,Ap #370-7729 Ligula Road,1/12/1996,(742) 382-8653,1
9,Bert Serrano,"4,Price Galloway,Ap #907-5397 Fermentum St.,(668) 645-6332,2",18-11-2000,1-225-485-6784,1
10,Brendan Hale,7566 Nunc Avenue,24-12-2001,(430) 637-7662,2
11,Jaime Lynch,"4,Price Galloway,Ap #907-5397 Fermentum St.,(668) 645-6332,2",13-12-1999,(755) 256-5746,3
12,Alexa Avery,691-6608 Hendrerit Av.,26-12-2000,1-477-432-1358,3
13,Micah Reid,754 Bibendum. St.,17-11-1999,(358) 715-5465,2
14,Brynn Guy,"4,Price Galloway,Ap #907-5397 Fermentum St.,(668) 645-6332,2",8/12/2000,(198) 112-8681,2
15,Chase Ashley,Ap #719-1725 Lacus. Road,22-11-1998,(450) 942-2084,2
16,Robert Bright,589-1559 Rutrum St.,22-12-1996,(263) 290-4525,2
17,Stephanie Elliott,8224 Neque Rd.,24-11-1999,1-272-534-1251,1
18,Hoyt Wilkerson,"4,Price Galloway,Ap #907-5397 Fermentum St.,(668) 645-6332,2",9/12/1998,(170) 140-0471,2
19,Marcia English,6036 Vestibulum Av.,23-12-1998,(558) 421-2659,1
20,Susan Chen,Ap #581-4785 Cursus Ave,11/12/1997,1-488-473-5750,3
